Element ,bubble sort,insertion sort,selection sort,quicksort,merge sort
10540,121310333,11682370,30394479,631432,1058861
10560,120242771,11565882,30453869,625161,1060647
10580,122399453,11987782,30530032,641665,1064568
10600,121248528,11972182,31358354,633604,1063034
10620,125054439,11959889,31514417,642369,1072370
10640,122950000,11932304,30883155,638310,1066533
10660,123845745,11883820,31803065,646508,1072277
10680,124604509,12225568,31651537,651820,1084917
10700,125592190,11943842,32389385,639244,1075814
10720,125129101,12222050,31437902,642768,1077809
10740,125575820,12290902,32645050,650297,1074364
10760,126477282,12204747,31954152,638160,1111833
10780,128223246,12313886,32849955,669535,1078491
10800,127979888,12137956,31882343,648241,1081306
10820,128039019,12368911,31989716,649770,1122800
10840,127840688,12382955,32370619,656886,1090432
10860,128738231,12501826,32103927,663985,1090432
10880,127933001,12415721,32214500,649666,1116869
10900,130061730,12432135,32401383,651048,1091832
10920,131085019,12567669,34098308,652745,1096818
10940,130757270,12739580,32671939,653415,1111591
10960,129244678,12665342,32741501,664839,1612031
10980,130920980,12574841,33807724,671883,1101366
11000,131440019,12723583,32977899,672055,1107500
11020,133498990,12879191,33084617,669561,1109026
11040,133344825,12801386,34502088,671169,1107225
11060,134010004,12965838,34214171,678022,1116293
11080,133859358,13118897,34321590,719900,1143030
11100,135314189,13144458,33654225,673514,1117866
11120,135942944,13163695,34949268,680225,1123896
11140,135794018,13018857,33850592,674970,1124159
11160,136204269,13076076,33905803,686498,1121230
11180,136008661,13300768,34050918,674062,1132104
11200,136887280,13156537,34148913,680138,1128560
11220,138870032,13238928,34293314,678979,1130918
11240,138889958,13278634,34500613,683439,1133393
11260,138984573,13399823,34511427,688561,1132024
11280,138879608,13449147,35683527,695022,1135637
11300,140302738,13498796,35523116,682799,1145459
11320,139381616,13497183,34901641,689911,1141232
11340,142212913,13652830,36527642,696521,1147961
11360,142576625,13415464,35585310,676640,1144167
11380,141932319,13777015,35240235,692627,1147939
11400,142422532,13673971,35377987,696565,1184362
11420,141532040,13820998,35483229,710669,1152939
11440,142925913,13843206,35978396,694698,1156849
11460,144279357,13991129,35772786,691702,1154593
11480,143699010,13836716,36495616,685758,1159337
11500,144933631,14058301,36047475,700051,1169405
11520,144649791,14044166,37036367,709437,1161625
11540,145646000,14151925,37098392,698975,1171371
11560,147499850,14062664,36353601,705679,1166148
11580,147705989,14159404,36477451,687004,1642515
11600,148933570,14666745,36641186,712957,1172982
11620,146993590,14212749,36765355,702802,1172134
11640,150780118,14293554,37663528,701022,1227540
11660,148991144,14414062,37055138,700256,1175880
11680,151441476,14134673,37589374,703611,1173482
11700,150637926,14611598,39359521,759292,1225868
11720,152547068,14473494,37939783,715549,1184035
11740,152124677,14632037,37976901,794062,1178788
11760,151507158,14493544,38415303,717932,1182406
11780,152551251,14601209,38416595,722509,1187721
11800,151898320,14585408,38816222,715977,1232136
11820,153431776,14731157,39470004,715770,1191579
11840,154653256,15032102,38129701,724638,1196434
11860,152884998,14688587,38275657,711245,1198920
11880,154230805,14894911,38366471,719662,1202292
11900,156408746,15014677,38479799,719218,1204987
11920,156044185,15011577,38654973,720576,1204335
11940,156124985,14993518,40541636,727582,1204876
11960,156199742,14960642,39513768,733264,1209418
11980,156777308,15272163,39108011,732456,1207779
12000,158293267,15138050,39703099,735669,1214023
12020,157830150,15200957,39319543,734596,1214876
12040,159081710,15209913,39413410,716980,1217832
12060,159140384,15317379,40203622,727569,1216469
12080,161599155,15357757,39871703,729601,1223747
12100,161984586,15514399,40039009,745257,1224368
12120,160763073,15498441,41354020,740440,1225321
12140,160885346,15334961,40930950,722790,1226425
12160,162793517,15648169,40435691,733949,1225086
12180,161753004,15735873,40318871,740230,1228265
12200,164393409,15837763,41202365,741329,1228763
12220,164786518,15700940,41770460,754394,1236439
12240,163203801,15863063,40686534,768224,1229631
12260,166886349,15756647,40822673,740691,1243196
12280,165995415,15841504,40967431,742840,1236458
12300,165526759,15957934,41940970,744027,1239701
12320,166064953,15786690,42985635,753289,1244464
12340,167655335,16037278,41385332,757151,1246971
12360,167632109,16110827,41812383,759041,1255716
12380,169203274,16134260,43148986,757642,1251297
12400,168706977,16103766,42260115,762479,1265431
12420,170730583,16218131,41910112,769659,1257355
12440,171171231,16580081,43489761,759048,1263972
12460,172052797,16425993,42937657,764039,1265648
12480,172266623,16280673,43206001,749667,1263285
12500,172797695,16529864,45079511,822932,1349654
12520,173840210,16497264,44296493,759347,1271094
12540,173827470,16723110,43641320,759707,1271973
12560,175282057,16787762,44079861,765522,1280622
12580,174415980,16606050,44321608,770260,1319134
12600,175726743,16461483,43127973,772242,1310264
12620,175155548,16902714,43412312,772273,1278057
12640,177109581,16813048,43423717,767998,1287103
12660,177571298,16730584,43500730,772613,1288006
12680,177528818,17422951,44885082,779156,1732975
12700,177664774,16917604,43787149,765681,1319317
12720,178784629,17096764,43952827,787342,1295499
12740,180476163,17102465,44145621,786112,1297705
12760,180005641,17123230,45125517,777615,1298910
12780,178249353,17146273,44871065,787436,1295482
12800,181023693,17180285,46229065,934344,1446510
12820,182035148,17317291,44735659,792306,1304905
12840,181025639,17382770,44887473,782558,1310236
12860,182170487,17371363,46241501,791273,1345411
12880,183882711,17544584,45188354,817089,1311221
12900,185508834,17693461,45765699,775471,1317604
12920,182668617,17456089,45456619,799533,1575101
12940,185478705,17637513,46478075,796852,1349087
12960,184645678,17581439,46112359,778101,1322893
